full_text,entities
,
"@CBC please stop writing articles about Canada basketball men's senior team because they will not qualify for the 2024 Paris Olympics 
The only thing @CanBball is good at is leaving Canada basketball players for dead in foreign countries 
https://t.co/h99e4uvP3x","{'display_url': 'cbc.ca/sports/basketb…', 'expanded_url': 'https://www.cbc.ca/sports/basketball/canada-fiba-world-cup-draw-1.6827012', 'url': 'https://t.co/h99e4uvP3x', 'indices': [239, 262]}"
"New Articles in Feed: Olympic Shooting
Russia excluded from men 27 s basketball at 2024 ...

https://t.co/zUEZ6wIZHD
Get FD Reader App (RSS/ATOM) with Twitter posting at https://t.co/VVzjdw5iNb","{'display_url': 'feeddistiller.com/blogs/Olympic%…', 'expanded_url': 'https://www.feeddistiller.com/blogs/Olympic%20Shooting/feed.html', 'url': 'https://t.co/zUEZ6wIZHD', 'indices': [93, 116]}"
"New Articles in Feed: Olympic Shooting
Russia excluded from men 27 s basketball at 2024 ...

https://t.co/zUEZ6wIZHD
Get FD Reader App (RSS/ATOM) with Twitter posting at https://t.co/VVzjdw5iNb","{'display_url': 'tinyurl.com/FDReader', 'expanded_url': 'https://tinyurl.com/FDReader', 'url': 'https://t.co/VVzjdw5iNb', 'indices': [170, 193]}"
"The U.S. men’s basketball team began its quest for a fifth straight Olympic gold medal today. After winning a head-to-head match against Serbia today, here's what's next for the Team USA basketball team.
https://t.co/XM92RoOvW4 https://t.co/yveC5LLgLf","{'display_url': 'vogue.com/article/us-men…', 'expanded_url': 'https://www.vogue.com/article/us-mens-basketball-tips-off-in-paris?utm_source=twitter&utm_medium=social&utm_campaign=dhtwitter&utm_content=app.dashhudson.com%2Fvoguemagazine%2Flibrary%2Fmedia%2F436500605', 'url': 'https://t.co/XM92RoOvW4', 'indices': [204, 227]}"
"Night night! Steph Curry put @USABasketball on his back in crunch time and sent France’s upset bid to bed! USA won gold with a 98-87 victory. #Paris2024

Read more in The Sportsletter: https://t.co/zmhFEC8rhf https://t.co/ThbhX0CoH9","{'display_url': 'link.thesportsletter.com/view/6009f8595…', 'expanded_url': 'https://link.thesportsletter.com/view/6009f85950576903ee4927a5lnnm0.mhk/89fcf3be', 'url': 'https://t.co/zmhFEC8rhf', 'indices': [185, 208]}"
"It’s electric. It’s fast-paced. It’s 3x3 hoops. Led by sharpshooter Jimmer Fredette, the 2024 USA Men’s National Team is eyeing nothing but Gold for its first Olympic run: https://t.co/WbYk5oPntf https://t.co/6OMRZ9rkWX","{'display_url': 'slam.ly/usab-3s', 'expanded_url': 'http://slam.ly/usab-3s', 'url': 'https://t.co/WbYk5oPntf', 'indices': [172, 195]}"
"It wasn’t pretty, but the @USABasketball women held off France 67-66 to win an 8th straight gold medal at the Olympics! A’ja Wilson led USA’s comeback effort with 21 points and 13 rebounds. #Paris2024

Read more in The Sportsletter: https://t.co/zmhFEC7TrH https://t.co/pGi7KVG5qM","{'display_url': 'link.thesportsletter.com/view/6009f8595…', 'expanded_url': 'https://link.thesportsletter.com/view/6009f85950576903ee4927a5lnnm0.mhk/89fcf3be', 'url': 'https://t.co/zmhFEC7TrH', 'indices': [233, 256]}"
"Paris Olympics, Aug. 6: Live updates and results from men's 5x5 basketball quartefinals - https://t.co/VrTnX8ug94: * Paris Olympics, Aug. 6: Live updates and results from men's 5x5 basketball quartefinals  https://t.co/VrTnX8ug94
 * 2024 Olympic knockout… https://t.co/MOL1cUvWO2 https://t.co/4dVzP9ingw","{'display_url': 'NBA.com', 'expanded_url': 'http://NBA.com', 'url': 'https://t.co/VrTnX8ug94', 'indices': [90, 113]}"
"Paris Olympics, Aug. 6: Live updates and results from men's 5x5 basketball quartefinals - https://t.co/VrTnX8ug94: * Paris Olympics, Aug. 6: Live updates and results from men's 5x5 basketball quartefinals  https://t.co/VrTnX8ug94
 * 2024 Olympic knockout… https://t.co/MOL1cUvWO2 https://t.co/4dVzP9ingw","{'display_url': 'NBA.com', 'expanded_url': 'http://NBA.com', 'url': 'https://t.co/VrTnX8ug94', 'indices': [206, 229]}"
"Paris Olympics, Aug. 6: Live updates and results from men's 5x5 basketball quartefinals - https://t.co/VrTnX8ug94: * Paris Olympics, Aug. 6: Live updates and results from men's 5x5 basketball quartefinals  https://t.co/VrTnX8ug94
 * 2024 Olympic knockout… https://t.co/MOL1cUvWO2 https://t.co/4dVzP9ingw","{'display_url': 'dlvr.it/TBYGpP', 'expanded_url': 'http://dlvr.it/TBYGpP', 'url': 'https://t.co/MOL1cUvWO2', 'indices': [256, 279]}"
"We got a taste of gold in Tokyo. But we wanted more.

The road to Paris 2024 was about growing, expanding the player pool &amp; going all in.

How we qualified for the Olympics » https://t.co/4FzKeCVWKa https://t.co/zAud13OOb9","{'display_url': 'youtube.com/watch?v=rW5k6M…', 'expanded_url': 'https://www.youtube.com/watch?v=rW5k6MktLsY', 'url': 'https://t.co/4FzKeCVWKa', 'indices': [179, 202]}"
"🏅 The Paris Games are Fanatics' best-selling Olympics ever, with sales up 200% from Tokyo 2021.

The USA Men’s and Women's Basketball Gold Medal Team T-shirt were the top sellers.

🔗: https://t.co/SxwcDeOxdt https://t.co/DoYoBajsuz","{'display_url': 'sportsbusinessjournal.com/Articles/2024/…', 'expanded_url': 'https://www.sportsbusinessjournal.com/Articles/2024/08/13/fanatics-olympic-sales-record?publicationSource=morningbuzz&issue=bdb08c9221c346758bb55448ddecb9b3', 'url': 'https://t.co/SxwcDeOxdt', 'indices': [184, 207]}"
"We have #Olympics  fever. In our e-edition today:
🏅7-page Sports section, including a profile of Quincy Wilson per @LHRubama and my look at all the 757 athletes in Paris. 
🏅16-page (!) Olympic preview section. 
🏅And we’re just getting started. https://t.co/I4MPKIggYX https://t.co/c7Xy3lH8wC","{'display_url': 'digitaledition.pilotonline.com/html5/mobile/p…', 'expanded_url': 'https://digitaledition.pilotonline.com/html5/mobile/production/default.aspx?edid=f0e64c21-5834-4a32-91a4-af6a59cacd1d', 'url': 'https://t.co/I4MPKIggYX', 'indices': [244, 267]}"
"The U.S. is set for a gold-medal showdown against France in men’s basketball tomorrow — a rematch from Tokyo 🏀

Read more: https://t.co/SaCMVpxquB https://t.co/NK9KkzkO9u","{'display_url': 'ow.ly/t1OQ50SUEko', 'expanded_url': 'https://ow.ly/t1OQ50SUEko', 'url': 'https://t.co/SaCMVpxquB', 'indices': [123, 146]}"
